Timestamp,Twitter Activity
2013-11-01,1
2013-11-02,85
2013-11-03,7
2013-11-04,3
2013-11-05,3
2013-11-06,2
2013-11-07,2
2013-11-08,4
2013-11-09,51
2013-11-10,9
2013-11-11,23
2013-11-12,2
2013-11-13,3
2013-11-14,6
2013-11-15,117
2013-11-16,29
2013-11-17,4
2013-11-18,5
2013-11-19,3
2013-11-20,2
2013-11-21,4
2013-11-22,2
2013-11-23,73
2013-11-24,4
2013-11-25,4
2013-11-26,0
2013-11-27,2
2013-11-28,5
2013-11-29,9
2013-11-30,2
2013-12-01,78
2013-12-02,12
2013-12-03,3
2013-12-04,29
2013-12-05,2
2013-12-06,1
2013-12-07,2
2013-12-08,45
2013-12-09,8
2013-12-10,7
2013-12-11,125
2013-12-12,11
2013-12-13,3
2013-12-14,1
2013-12-15,0
2013-12-16,85
2013-12-17,8
2013-12-18,2
2013-12-19,5
2013-12-20,4
2013-12-21,7
2013-12-22,157
2013-12-23,24
2013-12-24,5
2013-12-25,3
2013-12-26,1
2013-12-27,4
2013-12-28,6
2013-12-29,1
2013-12-30,3
